machine,speed,globaltime,clocktime
2056,5,1678292393.138269,0
2056,5,1678292393.338819,1
2056,5,1678292393.539078,2
2056,5,1678292393.74368,3
2056,5,1678292393.948962,4
2056,5,1678292394.14934,6
2056,5,1678292394.351874,7
2056,5,1678292394.5561159,8
2056,5,1678292394.756608,9
2056,5,1678292394.958682,10
2056,5,1678292395.159086,12
2056,5,1678292395.359744,13
2056,5,1678292395.5603268,14
2056,5,1678292395.7606819,15
2056,5,1678292395.9618921,16
2056,5,1678292396.16265,17
2056,5,1678292396.366476,18
2056,5,1678292396.567184,19
2056,5,1678292396.767489,21
2056,5,1678292396.971414,22
2056,5,1678292397.1745348,23
2056,5,1678292397.377634,24
2056,5,1678292397.5804029,25
2056,5,1678292397.782378,27
2056,5,1678292397.982982,28
2056,5,1678292398.183258,29
2056,5,1678292398.38364,30
2056,5,1678292398.5839732,31
2056,5,1678292398.784449,32
2056,5,1678292398.984977,33
2056,5,1678292399.185451,34
2056,5,1678292399.3865411,37
2056,5,1678292399.590584,38
2056,5,1678292399.790941,39
2056,5,1678292399.993529,40
2056,5,1678292400.1958861,41
2056,5,1678292400.396061,42
2056,5,1678292400.59665,43
2056,5,1678292400.79712,44
2056,5,1678292400.9987588,45
2056,5,1678292401.199098,46
2056,5,1678292401.399692,48
2056,5,1678292401.5999339,49
2056,5,1678292401.800315,50
2056,5,1678292402.017161,51
2056,5,1678292402.218285,52
2056,5,1678292402.418726,53
2056,5,1678292402.6192498,56
2056,5,1678292402.819644,57
2056,5,1678292403.022621,58
2056,5,1678292403.2229388,59
2056,5,1678292403.427047,60
2056,5,1678292403.627337,61
2056,5,1678292403.831022,62
2056,5,1678292404.0314188,63
2056,5,1678292404.231916,66
2056,5,1678292404.434907,67
2056,5,1678292404.635176,68
2056,5,1678292404.838656,69
2056,5,1678292405.038861,70
2056,5,1678292405.2393448,71
2056,5,1678292405.439834,73
2056,5,1678292405.6405828,74
2056,5,1678292405.843636,75
2056,5,1678292406.046884,76
2056,5,1678292406.249705,77
2056,5,1678292406.4513888,78
2056,5,1678292406.651663,79
2056,5,1678292406.8519979,80
2056,5,1678292407.0525591,81
2056,5,1678292407.252854,82
2056,5,1678292407.453408,84
2056,5,1678292407.6545558,85
2056,5,1678292407.8549562,87
2056,5,1678292408.056937,88
2056,5,1678292408.2572649,89
2056,5,1678292408.457579,90
2056,5,1678292408.658334,92
2056,5,1678292408.862484,93
2056,5,1678292409.06304,94
2056,5,1678292409.266054,95
2056,5,1678292409.466424,96
2056,5,1678292409.669479,98
2056,5,1678292409.870025,99
2056,5,1678292410.0703092,100
2056,5,1678292410.2706938,101
2056,5,1678292410.471096,102
2056,5,1678292410.6714702,103
2056,5,1678292410.8720121,104
2056,5,1678292411.0724852,105
2056,5,1678292411.273294,106
2056,5,1678292411.475413,109
2056,5,1678292411.6785102,110
2056,5,1678292411.8788211,111
2056,5,1678292412.079136,112
2056,5,1678292412.279422,113
2056,5,1678292412.480074,114
2056,5,1678292412.681331,116
2056,5,1678292412.88174,117
2056,5,1678292413.0854368,118
2056,5,1678292413.289144,119
2056,5,1678292413.494209,120
2056,5,1678292413.698949,121
2056,5,1678292413.9024682,122
2056,5,1678292414.103893,123
2056,5,1678292414.3054929,124
2056,5,1678292414.505857,127
2056,5,1678292414.7060952,128
2056,5,1678292414.910893,129
2056,5,1678292415.111189,130
2056,5,1678292415.311452,131
2056,5,1678292415.512647,132
2056,5,1678292415.714092,134
2056,5,1678292415.914627,135
2056,5,1678292416.1202402,136
2056,5,1678292416.325469,137
2056,5,1678292416.525735,138
2056,5,1678292416.726729,139
2056,5,1678292416.928035,140
2056,5,1678292417.130029,141
2056,5,1678292417.332499,143
2056,5,1678292417.53846,144
2056,5,1678292417.743053,145
2056,5,1678292417.946505,147
2056,5,1678292418.152163,148
2056,5,1678292418.3570461,149
2056,5,1678292418.5582368,150
2056,5,1678292418.759382,152
2056,5,1678292418.962444,153
3056,2,1678292393.130989,0
3056,2,1678292393.6337228,1
3056,2,1678292394.1361868,2
3056,2,1678292394.63664,7
3056,2,1678292395.139175,8
3056,2,1678292395.639439,9
3056,2,1678292396.1416478,10
3056,2,1678292396.642029,19
3056,2,1678292397.143132,20
3056,2,1678292397.643531,21
3056,2,1678292398.144779,22
3056,2,1678292398.646903,23
3056,2,1678292399.148057,32
3056,2,1678292399.648722,33
3056,2,1678292400.149301,34
3056,2,1678292400.6497102,35
3056,2,1678292401.1510458,45
3056,2,1678292401.651365,46
3056,2,1678292402.152703,47
3056,2,1678292402.652954,52
3056,2,1678292403.153968,53
3056,2,1678292403.65422,54
3056,2,1678292404.1549509,59
3056,2,1678292404.658844,67
3056,2,1678292405.159924,68
3056,2,1678292405.660139,69
3056,2,1678292406.160825,70
3056,2,1678292406.66401,78
3056,2,1678292407.164326,79
3056,2,1678292407.6646268,80
3056,2,1678292408.166636,81
3056,2,1678292408.669353,82
3056,2,1678292409.1708102,83
3056,2,1678292409.6711218,84
3056,2,1678292410.1717298,85
